{'gain': 0.7636154294013977, 'ugbw': 0.7105354070663452, 'pm': 0.6899251580238341, 'tset': 0.7196315407752991, 'psrr': 0.6276914358139039, 'cmrr': 0.3844559609889985, 'offset_sys': 0.756649374961853, 'ibias': 0.4869314968585968, 'total_acc': 0.947035118019574, 'a1': 0.1532258064516129, 'a2': 0.19387755102040816, 'a3': 0.9764179104477612, 'a4': 0.9688981042654028, 'tt': 19, 'ff': 3271, 'tf': 105, 'ft': 79}
{'gain': 0.751583194732666, 'ugbw': 0.7183649897575378, 'pm': 0.6644789814949035, 'tset': 0.7191134095191956, 'psrr': 0.6252734661102295, 'cmrr': 0.41157167553901675, 'offset_sys': 0.7370178580284119, 'ibias': 0.5397236585617066, 'total_acc': 0.9283246977547496, 'a1': 0.10483870967741936, 'a2': 0.08609271523178808, 'a3': 0.9588059701492537, 'a4': 0.9665964489918748, 'tt': 13, 'ff': 3212, 'tf': 111, 'ft': 138}
{'gain': 0.7759930849075317, 'ugbw': 0.7158894658088684, 'pm': 0.6596430540084839, 'tset': 0.7365572810173034, 'psrr': 0.605181348323822, 'cmrr': 0.33350604176521303, 'offset_sys': 0.7677029371261597, 'ibias': 0.44265975952148434, 'total_acc': 0.9407023603914796, 'a1': 0.07258064516129033, 'a2': 0.09, 'a3': 0.9728358208955223, 'a4': 0.9659158269116775, 'tt': 9, 'ff': 3259, 'tf': 115, 'ft': 91}
{'gain': 0.7520437479019165, 'ugbw': 0.7148531913757323, 'pm': 0.6857800841331483, 'tset': 0.7276914358139037, 'psrr': 0.6249280452728271, 'cmrr': 0.39009786844253536, 'offset_sys': 0.7480713844299317, 'ibias': 0.5302821040153503, 'total_acc': 0.9412780656303973, 'a1': 0.08870967741935484, 'a2': 0.10784313725490197, 'a3': 0.9728358208955223, 'a4': 0.9664887307236062, 'tt': 11, 'ff': 3259, 'tf': 113, 'ft': 91}
{'gain': 0.7569372415542602, 'ugbw': 0.7187679886817933, 'pm': 0.6254461765289308, 'tset': 0.7301669478416443, 'psrr': 0.615486454963684, 'cmrr': 0.35428900718688966, 'offset_sys': 0.7613701701164246, 'ibias': 0.4411053538322449, 'total_acc': 0.9407023603914796, 'a1': 0.08870967741935484, 'a2': 0.10576923076923077, 'a3': 0.9722388059701492, 'a4': 0.9664688427299704, 'tt': 11, 'ff': 3257, 'tf': 113, 'ft': 93}
{'gain': 0.777432346343994, 'ugbw': 0.7149683356285095, 'pm': 0.6439263105392455, 'tset': 0.7607369065284728, 'psrr': 0.5996545791625977, 'cmrr': 0.33298791646957393, 'offset_sys': 0.7617731690406799, 'ibias': 0.4380541205406189, 'total_acc': 0.936384571099597, 'a1': 0.10483870967741936, 'a2': 0.10569105691056911, 'a3': 0.9671641791044776, 'a4': 0.9668755595344674, 'tt': 13, 'ff': 3240, 'tf': 111, 'ft': 110}
{'gain': 0.7691997766494751, 'ugbw': 0.7218192338943482, 'pm': 0.6465745449066163, 'tset': 0.7606793284416198, 'psrr': 0.604087507724762, 'cmrr': 0.33131836056709285, 'offset_sys': 0.7630397200584412, 'ibias': 0.41917098760604865, 'total_acc': 0.9476108232584917, 'a1': 0.08870967741935484, 'a2': 0.1375, 'a3': 0.9794029850746269, 'a4': 0.9667059516794343, 'tt': 11, 'ff': 3281, 'tf': 113, 'ft': 69}
{'gain': 0.7498560667037963, 'ugbw': 0.7233736276626587, 'pm': 0.6472653985023499, 'tset': 0.7603914737701416, 'psrr': 0.6024755358695985, 'cmrr': 0.35002878308296204, 'offset_sys': 0.7495682239532472, 'ibias': 0.4496257960796356, 'total_acc': 0.9493379389752447, 'a1': 0.10483870967741936, 'a2': 0.16666666666666666, 'a3': 0.9805970149253731, 'a4': 0.9673144876325088, 'tt': 13, 'ff': 3285, 'tf': 111, 'ft': 65}
{'gain': 0.7586643815040588, 'ugbw': 0.7170408844947815, 'pm': 0.6574553847312927, 'tset': 0.759815764427185, 'psrr': 0.6012089848518372, 'cmrr': 0.34375359416008, 'offset_sys': 0.7545192837715149, 'ibias': 0.4611398935317993, 'total_acc': 0.9432930339666091, 'a1': 0.11290322580645161, 'a2': 0.13861386138613863, 'a3': 0.9740298507462687, 'a4': 0.9673880818262675, 'tt': 14, 'ff': 3263, 'tf': 110, 'ft': 87}
{'gain': 0.7485319495201112, 'ugbw': 0.7207829475402832, 'pm': 0.656822109222412, 'tset': 0.7643062710762023, 'psrr': 0.5839378118515014, 'cmrr': 0.328900408744812, 'offset_sys': 0.7465745568275453, 'ibias': 0.45094990730285645, 'total_acc': 0.9519286125503742, 'a1': 0.0967741935483871, 'a2': 0.1791044776119403, 'a3': 0.9835820895522388, 'a4': 0.9671265042559436, 'tt': 12, 'ff': 3295, 'tf': 112, 'ft': 55}
{'gain': 0.7584340929985046, 'ugbw': 0.7260218739509583, 'pm': 0.6491076469421387, 'tset': 0.7621185898780823, 'psrr': 0.5874496221542359, 'cmrr': 0.31974669098854064, 'offset_sys': 0.7515831828117371, 'ibias': 0.44392631053924564, 'total_acc': 0.9476108232584917, 'a1': 0.04032258064516129, 'a2': 0.07352941176470588, 'a3': 0.9811940298507462, 'a4': 0.9650616559013505, 'tt': 5, 'ff': 3287, 'tf': 119, 'ft': 63}
