{'gain': 0.7944732308387756, 'ugbw': 0.73200923204422, 'pm': 0.5967184901237488, 'tset': 0.7478411197662354, 'psrr': 0.599021315574646, 'cmrr': 0.32383421063423157, 'offset_sys': 0.7530224323272705, 'ibias': 0.4234312176704407, 'total_acc': 0.943580886586068, 'a1': 0.16129032258064516, 'a2': 0.17857142857142858, 'a3': 0.9725373134328358, 'a4': 0.9690660321237359, 'tt': 20, 'ff': 3258, 'tf': 104, 'ft': 92}
{'gain': 0.7930339574813843, 'ugbw': 0.7343120574951172, 'pm': 0.5912492871284485, 'tset': 0.7501439452171326, 'psrr': 0.5998848676681519, 'cmrr': 0.337075412273407, 'offset_sys': 0.7622337341308594, 'ibias': 0.4208405315876007, 'total_acc': 0.9473229706390328, 'a1': 0.24193548387096775, 'a2': 0.25210084033613445, 'a3': 0.9734328358208956, 'a4': 0.9719821162444113, 'tt': 30, 'ff': 3261, 'tf': 94, 'ft': 89}
{'gain': 0.783534824848175, 'ugbw': 0.7130109667778015, 'pm': 0.5863558053970337, 'tset': 0.7567645311355591, 'psrr': 0.5895221829414368, 'cmrr': 0.327288419008255, 'offset_sys': 0.7559009790420532, 'ibias': 0.39752447605133057, 'total_acc': 0.945308002302821, 'a1': 0.18548387096774194, 'a2': 0.20535714285714285, 'a3': 0.9734328358208956, 'a4': 0.9699583581201666, 'tt': 23, 'ff': 3261, 'tf': 101, 'ft': 89}
{'gain': 0.7898675799369812, 'ugbw': 0.765975832939148, 'pm': 0.6571675539016724, 'tset': 0.7985031604766846, 'psrr': 0.6183074116706848, 'cmrr': 0.3641335666179657, 'offset_sys': 0.7610823512077332, 'ibias': 0.5094991326332092, 'total_acc': 0.9536557282671272, 'a1': 0.14516129032258066, 'a2': 0.2465753424657534, 'a3': 0.9835820895522388, 'a4': 0.9688326962658041, 'tt': 18, 'ff': 3295, 'tf': 106, 'ft': 55}
{'gain': 0.7823834419250488, 'ugbw': 0.7567645311355591, 'pm': 0.6427748799324036, 'tset': 0.7818077206611633, 'psrr': 0.6249280571937561, 'cmrr': 0.3641335666179657, 'offset_sys': 0.7417961955070496, 'ibias': 0.48762235045433044, 'total_acc': 0.9401266551525619, 'a1': 0.12096774193548387, 'a2': 0.13157894736842105, 'a3': 0.9704477611940299, 'a4': 0.9675595238095238, 'tt': 15, 'ff': 3251, 'tf': 109, 'ft': 99}
{'gain': 0.8039723634719849, 'ugbw': 0.7559009790420532, 'pm': 0.5808866024017334, 'tset': 0.7855498194694519, 'psrr': 0.6053540706634521, 'cmrr': 0.3503166437149048, 'offset_sys': 0.7478411197662354, 'ibias': 0.45567068457603455, 'total_acc': 0.936384571099597, 'a1': 0.18548387096774194, 'a2': 0.16083916083916083, 'a3': 0.9641791044776119, 'a4': 0.9696787751425998, 'tt': 23, 'ff': 3230, 'tf': 101, 'ft': 120}
{'gain': 0.7996546030044556, 'ugbw': 0.734024167060852, 'pm': 0.5636154413223267, 'tset': 0.787564754486084, 'psrr': 0.6160045862197876, 'cmrr': 0.3235463500022888, 'offset_sys': 0.7527346014976501, 'ibias': 0.43321818113327026, 'total_acc': 0.93811168681635, 'a1': 0.22580645161290322, 'a2': 0.19047619047619047, 'a3': 0.9644776119402985, 'a4': 0.9711451758340848, 'tt': 28, 'ff': 3231, 'tf': 96, 'ft': 119}
{'gain': 0.7985031604766846, 'ugbw': 0.7478411197662354, 'pm': 0.5808866024017334, 'tset': 0.7861254811286926, 'psrr': 0.5915371179580688, 'cmrr': 0.36614853143692017, 'offset_sys': 0.7538859844207764, 'ibias': 0.4455958604812622, 'total_acc': 0.9407023603914796, 'a1': 0.1774193548387097, 'a2': 0.1746031746031746, 'a3': 0.968955223880597, 'a4': 0.9695340501792115, 'tt': 22, 'ff': 3246, 'tf': 102, 'ft': 104}
{'gain': 0.7915946841239929, 'ugbw': 0.7688543200492859, 'pm': 0.5964305996894836, 'tset': 0.7800806164741516, 'psrr': 0.6001726984977722, 'cmrr': 0.36211860179901123, 'offset_sys': 0.7567645311355591, 'ibias': 0.4539435803890228, 'total_acc': 0.9533678756476683, 'a1': 0.29838709677419356, 'a2': 0.33035714285714285, 'a3': 0.9776119402985075, 'a4': 0.9741225461035098, 'tt': 37, 'ff': 3275, 'tf': 87, 'ft': 75}
{'gain': 0.7423719167709351, 'ugbw': 0.7475532293319702, 'pm': 0.5768566727638245, 'tset': 0.7642487287521362, 'psrr': 0.6021876931190491, 'cmrr': 0.33246976137161255, 'offset_sys': 0.7426597476005554, 'ibias': 0.4119170904159546, 'total_acc': 0.9464594127806563, 'a1': 0.21774193548387097, 'a2': 0.23275862068965517, 'a3': 0.9734328358208956, 'a4': 0.9711137581893985, 'tt': 27, 'ff': 3261, 'tf': 97, 'ft': 89}
{'gain': 0.715313732624054, 'ugbw': 0.7559009790420532, 'pm': 0.5719631314277649, 'tset': 0.7760506868362427, 'psrr': 0.5967184901237488, 'cmrr': 0.327288419008255, 'offset_sys': 0.7132987976074219, 'ibias': 0.4219919443130493, 'total_acc': 0.943580886586068, 'a1': 0.23387096774193547, 'a2': 0.2230769230769231, 'a3': 0.9698507462686567, 'a4': 0.9715909090909091, 'tt': 29, 'ff': 3249, 'tf': 95, 'ft': 101}
{'gain': 0.6940126419067383, 'ugbw': 0.7504317760467529, 'pm': 0.5509499311447144, 'tset': 0.7633851170539856, 'psrr': 0.6165803074836731, 'cmrr': 0.3267127275466919, 'offset_sys': 0.7101324200630188, 'ibias': 0.41450777649879456, 'total_acc': 0.9283246977547496, 'a1': 0.1532258064516129, 'a2': 0.1165644171779141, 'a3': 0.9570149253731344, 'a4': 0.9682875264270613, 'tt': 19, 'ff': 3206, 'tf': 105, 'ft': 144}
{'gain': 0.7023603916168213, 'ugbw': 0.7343120574951172, 'pm': 0.5480713844299316, 'tset': 0.7590673565864563, 'psrr': 0.5972942113876343, 'cmrr': 0.3249855935573578, 'offset_sys': 0.7193437218666077, 'ibias': 0.39407023787498474, 'total_acc': 0.9366724237190558, 'a1': 0.31451612903225806, 'a2': 0.22413793103448276, 'a3': 0.9597014925373134, 'a4': 0.9742424242424242, 'tt': 39, 'ff': 3215, 'tf': 85, 'ft': 135}
{'gain': 0.6873920559883118, 'ugbw': 0.72682785987854, 'pm': 0.5460563898086548, 'tset': 0.7573402523994446, 'psrr': 0.5955670475959778, 'cmrr': 0.32815200090408325, 'offset_sys': 0.7026482224464417, 'ibias': 0.38658607006073, 'total_acc': 0.9340817501439264, 'a1': 0.3790322580645161, 'a2': 0.23618090452261306, 'a3': 0.9546268656716418, 'a4': 0.9764885496183207, 'tt': 47, 'ff': 3198, 'tf': 77, 'ft': 152}
{'gain': 0.6842256784439087, 'ugbw': 0.7253885865211487, 'pm': 0.5587219595909119, 'tset': 0.7478411197662354, 'psrr': 0.590673565864563, 'cmrr': 0.3244099020957947, 'offset_sys': 0.6850892305374146, 'ibias': 0.37161773443222046, 'total_acc': 0.931203223949338, 'a1': 0.3790322580645161, 'a2': 0.22488038277511962, 'a3': 0.9516417910447761, 'a4': 0.9764165390505359, 'tt': 47, 'ff': 3188, 'tf': 77, 'ft': 162}
{'gain': 0.6816350221633911, 'ugbw': 0.7132987976074219, 'pm': 0.549510657787323, 'tset': 0.7541738748550415, 'psrr': 0.5831894278526306, 'cmrr': 0.320092111825943, 'offset_sys': 0.6891191601753235, 'ibias': 0.36125504970550537, 'total_acc': 0.9263097294185377, 'a1': 0.43548387096774194, 'a2': 0.225, 'a3': 0.9444776119402986, 'a4': 0.9783549783549783, 'tt': 54, 'ff': 3164, 'tf': 70, 'ft': 186}
{'gain': 0.6732872724533081, 'ugbw': 0.723661482334137, 'pm': 0.5454807281494141, 'tset': 0.7472653985023499, 'psrr': 0.5846286416053772, 'cmrr': 0.3310305178165436, 'offset_sys': 0.6830742955207825, 'ibias': 0.4004029929637909, 'total_acc': 0.918825561312608, 'a1': 0.4435483870967742, 'a2': 0.20522388059701493, 'a3': 0.9364179104477612, 'a4': 0.9784778540237056, 'tt': 55, 'ff': 3137, 'tf': 69, 'ft': 213}
{'gain': 0.6917098164558411, 'ugbw': 0.7158894538879395, 'pm': 0.5460563898086548, 'tset': 0.7432354688644409, 'psrr': 0.5869314670562744, 'cmrr': 0.34513530135154724, 'offset_sys': 0.6919977068901062, 'ibias': 0.38082900643348694, 'total_acc': 0.91335636154289, 'a1': 0.4838709677419355, 'a2': 0.20202020202020202, 'a3': 0.9292537313432836, 'a4': 0.9798552093169657, 'tt': 60, 'ff': 3113, 'tf': 64, 'ft': 237}
